Âge,Attrition,VoyageD'Affaires,TarifQuotidien,Service,DistanceMaison,Éducation,DomaineÉducation,NombreEmployés,NuméroD'Employé,SatisfactionEnvironnement,Genre,TarifHoraire,EngagementTravail,ÉchellePoste,ResponsabilitéPoste,SatisfactionTravail,ÉtatCivil,SalaireMensuel,TarifMensuel,NombreEntreprisesDéjàTravaillé,PlusDe18,TempsSupplémentaire,AugmentationSalairePourcentage,CotePerformance,SatisfactionRelation,HeuresTravailléesStandard,NiveauOptionStocks,AnnéesTravailléesTotal,NombreFormationsAnDernier,ÉquilibreTravailFamille,AnnéesEmployé,AnnéesPosteActuel,AnnéesDepuisDernièrePromotion,AnnéesAvecGestionnaireActuel
59,Non,Voyage_Souvent,1225,Ventes,1,1,Sciences biologiques,1,91,1,Femme,57,2,2,Directeur/directrice commercial,3,Célibataire,5473,24668,7,O,Non,11,3,4,80,0,20,2,2,4,3,1,3
29,Non,Voyage_Rarement,1328,Recherche et développement,2,3,Sciences biologiques,1,94,3,Homme,76,3,1,Scientifique chercheur(e),2,Marié(e),2703,4956,0,O,Non,23,4,4,80,1,6,3,3,5,4,0,4
31,Non,Voyage_Rarement,1082,Recherche et développement,1,4,Médical,1,95,3,Homme,87,3,1,Scientifique chercheur(e),2,Célibataire,2501,18775,1,O,Non,17,3,2,80,0,1,4,3,1,1,1,0
32,Non,Voyage_Rarement,548,Recherche et développement,1,3,Sciences biologiques,1,96,2,Homme,66,3,2,Scientifique chercheur(e),2,Marié(e),6220,7346,1,O,Non,17,3,2,80,2,10,3,3,10,4,0,9
36,Non,Voyage_Rarement,132,Recherche et développement,6,3,Sciences biologiques,1,97,2,Femme,55,4,1,Technicien(ne) en laboratoire,4,Marié(e),3038,22002,3,O,Non,12,3,2,80,0,5,3,3,1,0,0,0
31,Non,Voyage_Rarement,746,Recherche et développement,8,4,Sciences biologiques,1,98,3,Femme,61,3,2,Chef de la production,4,Célibataire,4424,20682,1,O,Non,23,4,4,80,0,11,2,3,11,7,1,8
35,Non,Voyage_Rarement,776,Ventes,1,4,Marketing,1,100,3,Homme,32,2,2,Directeur/directrice commercial,1,Célibataire,4312,23016,0,O,Non,14,3,2,80,0,16,2,3,15,13,2,8
45,Non,Voyage_Rarement,193,Recherche et développement,6,4,Autre,1,101,4,Homme,52,3,3,Directeur/directrice de recherche,1,Marié(e),13245,15067,4,O,Oui,14,3,2,80,0,17,3,4,0,0,0,0
37,Non,Voyage_Rarement,397,Recherche et développement,7,4,Médical,1,102,1,Homme,30,3,3,Directeur/directrice de recherche,3,Célibataire,13664,25258,4,O,Non,13,3,1,80,0,16,3,4,5,2,0,2
46,Non,Voyage_Rarement,945,Ressources humaines,5,2,Médical,1,103,2,Homme,80,3,2,Ressources humaines,2,Divorcé(e),5021,10425,8,O,Oui,22,4,4,80,1,16,2,3,4,2,0,2
30,Non,Voyage_Rarement,852,Recherche et développement,1,1,Sciences biologiques,1,104,4,Homme,55,2,2,Technicien(ne) en laboratoire,4,Marié(e),5126,15998,1,O,Oui,12,3,3,80,2,10,1,2,10,8,3,0
35,Non,Voyage_Rarement,1214,Recherche et développement,1,3,Médical,1,105,2,Homme,30,2,1,Scientifique chercheur(e),3,Célibataire,2859,26278,1,O,Non,18,3,1,80,0,6,3,3,6,4,0,4
55,Non,Voyage_Rarement,111,Ventes,1,2,Sciences biologiques,1,106,1,Homme,70,3,3,Directeur/directrice commercial,4,Marié(e),10239,18092,3,O,Non,14,3,4,80,1,24,4,3,1,0,1,0
38,Non,Ne_Voyage_Pas,573,Recherche et développement,6,3,Médical,1,107,2,Femme,79,1,2,Scientifique chercheur(e),4,Divorcé(e),5329,15717,7,O,Oui,12,3,4,80,3,17,3,3,13,11,1,9
34,Non,Voyage_Rarement,1153,Recherche et développement,1,2,Médical,1,110,1,Homme,94,3,2,Chef de la production,2,Marié(e),4325,17736,1,O,Non,15,3,3,80,0,5,2,3,5,2,1,3
56,Non,Voyage_Rarement,1400,Recherche et développement,7,3,Sciences biologiques,1,112,4,Homme,49,1,3,Chef de la production,4,Célibataire,7260,21698,4,O,Non,11,3,1,80,0,37,3,2,6,4,0,2
23,Non,Voyage_Rarement,541,Ventes,2,1,Diplôme technique,1,113,3,Homme,62,3,1,Représentant(e) commercial,1,Divorcé(e),2322,9518,3,O,Non,13,3,3,80,1,3,3,3,0,0,0,0
51,Non,Voyage_Rarement,432,Recherche et développement,9,4,Sciences biologiques,1,116,4,Homme,96,3,1,Technicien(ne) en laboratoire,4,Marié(e),2075,18725,3,O,Non,23,4,2,80,2,10,4,3,4,2,0,3
30,Non,Voyage_Rarement,288,Recherche et développement,2,3,Sciences biologiques,1,117,3,Homme,99,2,2,Représentant(e) en santé,4,Marié(e),4152,15830,1,O,Non,19,3,1,80,3,11,3,3,11,10,10,8
46,Oui,Voyage_Rarement,669,Ventes,9,2,Médical,1,118,3,Homme,64,2,3,Directeur/directrice commercial,4,Célibataire,9619,13596,1,O,Non,16,3,4,80,0,9,3,3,9,8,4,7
40,Non,Voyage_Souvent,530,Recherche et développement,1,4,Sciences biologiques,1,119,3,Homme,78,2,4,Représentant(e) en santé,2,Marié(e),13503,14115,1,O,Non,22,4,4,80,1,22,3,2,22,3,11,11
51,Non,Voyage_Rarement,632,Ventes,21,4,Marketing,1,120,3,Homme,71,3,2,Directeur/directrice commercial,4,Célibataire,5441,8423,0,O,Oui,22,4,4,80,0,11,2,1,10,7,1,0
30,Non,Voyage_Rarement,1334,Ventes,4,2,Médical,1,121,3,Femme,63,2,2,Directeur/directrice commercial,2,Divorcé(e),5209,19760,1,O,Oui,12,3,2,80,3,11,4,2,11,8,2,7
46,Non,Voyage_Souvent,638,Recherche et développement,1,3,Médical,1,124,3,Homme,40,2,3,Représentant(e) en santé,1,Marié(e),10673,3142,2,O,Oui,13,3,3,80,1,21,5,2,10,9,9,5
32,Non,Voyage_Rarement,1093,Ventes,6,4,Médical,1,125,2,Homme,87,3,2,Directeur/directrice commercial,3,Célibataire,5010,24301,1,O,Non,16,3,1,80,0,12,0,3,11,8,5,7
54,Non,Voyage_Rarement,1217,Recherche et développement,2,4,Diplôme technique,1,126,1,Femme,60,3,3,Directeur/directrice de recherche,3,Marié(e),13549,24001,9,O,Non,12,3,1,80,1,16,5,1,4,3,0,3
24,Non,Voyage_Rarement,1353,Ventes,3,2,Autre,1,128,1,Femme,33,3,2,Directeur/directrice commercial,3,Marié(e),4999,17519,0,O,Non,21,4,1,80,1,4,2,2,3,2,0,2
28,Non,Ne_Voyage_Pas,120,Ventes,4,3,Médical,1,129,2,Homme,43,3,2,Directeur/directrice commercial,3,Marié(e),4221,8863,1,O,Non,15,3,2,80,0,5,3,4,5,4,0,4
58,Non,Voyage_Rarement,682,Ventes,10,4,Médical,1,131,4,Homme,37,3,4,Directeur/directrice commercial,3,Célibataire,13872,24409,0,O,Non,13,3,3,80,0,38,1,2,37,10,1,8
44,Non,Ne_Voyage_Pas,489,Recherche et développement,23,3,Médical,1,132,2,Homme,67,3,2,Technicien(ne) en laboratoire,2,Marié(e),2042,25043,4,O,Non,12,3,3,80,1,17,3,4,3,2,1,2
37,Oui,Voyage_Rarement,807,Ressources humaines,6,4,Ressources humaines,1,133,3,Homme,63,3,1,Ressources humaines,1,Divorcé(e),2073,23648,4,O,Oui,22,4,4,80,0,7,3,3,3,2,0,2
32,Non,Voyage_Rarement,827,Recherche et développement,1,1,Sciences biologiques,1,134,4,Homme,71,3,1,Scientifique chercheur(e),1,Célibataire,2956,15178,1,O,Non,13,3,4,80,0,1,2,3,1,0,0,0
20,Oui,Voyage_Souvent,871,Recherche et développement,6,3,Sciences biologiques,1,137,4,Femme,66,2,1,Technicien(ne) en laboratoire,4,Célibataire,2926,19783,1,O,Oui,18,3,2,80,0,1,5,3,1,0,1,0
34,Non,Voyage_Rarement,665,Recherche et développement,6,4,Autre,1,138,1,Femme,41,3,2,Scientifique chercheur(e),3,Célibataire,4809,12482,1,O,Non,14,3,3,80,0,16,3,3,16,13,2,10
37,Non,Ne_Voyage_Pas,1040,Recherche et développement,2,2,Sciences biologiques,1,139,3,Homme,100,2,2,Représentant(e) en santé,4,Divorcé(e),5163,15850,5,O,Non,14,3,4,80,1,17,2,4,1,0,0,0
59,Non,Ne_Voyage_Pas,1420,Ressources humaines,2,4,Ressources humaines,1,140,3,Femme,32,2,5,Gestionnaire,4,Marié(e),18844,21922,9,O,Non,21,4,4,80,1,30,3,3,3,2,2,2
50,Non,Voyage_Souvent,1115,Recherche et développement,1,3,Sciences biologiques,1,141,1,Femme,73,3,5,Directeur/directrice de recherche,2,Marié(e),18172,9755,3,O,Oui,19,3,1,80,0,28,1,2,8,3,0,7
25,Oui,Voyage_Rarement,240,Ventes,5,3,Marketing,1,142,3,Homme,46,2,2,Directeur/directrice commercial,3,Célibataire,5744,26959,1,O,Oui,11,3,4,80,0,6,1,3,6,4,0,3
25,Non,Voyage_Rarement,1280,Recherche et développement,7,1,Médical,1,143,4,Homme,64,2,1,Scientifique chercheur(e),4,Marié(e),2889,26897,1,O,Non,11,3,3,80,2,2,2,3,2,2,2,1
22,Non,Voyage_Rarement,534,Recherche et développement,15,3,Médical,1,144,2,Femme,59,3,1,Technicien(ne) en laboratoire,4,Célibataire,2871,23785,1,O,Non,15,3,3,80,0,1,5,3,0,0,0,0
51,Non,Voyage_Souvent,1456,Recherche et développement,1,4,Médical,1,145,1,Femme,30,2,3,Représentant(e) en santé,1,Célibataire,7484,25796,3,O,Non,20,4,3,80,0,23,1,2,13,12,12,8
34,Oui,Voyage_Souvent,658,Recherche et développement,7,3,Sciences biologiques,1,147,1,Homme,66,1,2,Technicien(ne) en laboratoire,3,Célibataire,6074,22887,1,O,Oui,24,4,4,80,0,9,3,3,9,7,0,6
54,Non,Ne_Voyage_Pas,142,Ressources humaines,26,3,Ressources humaines,1,148,4,Femme,30,4,4,Gestionnaire,4,Célibataire,17328,13871,2,O,Oui,12,3,3,80,0,23,3,3,5,3,4,4
24,Non,Voyage_Rarement,1127,Recherche et développement,18,1,Sciences biologiques,1,150,2,Homme,52,3,1,Technicien(ne) en laboratoire,3,Marié(e),2774,13257,0,O,Non,12,3,3,80,1,6,2,3,5,3,1,2
34,Non,Voyage_Rarement,1031,Recherche et développement,6,4,Sciences biologiques,1,151,3,Femme,45,2,2,Scientifique chercheur(e),2,Divorcé(e),4505,15000,6,O,Non,15,3,3,80,1,12,3,3,1,0,0,0
37,Non,Voyage_Rarement,1189,Ventes,3,3,Sciences biologiques,1,152,3,Homme,87,3,3,Directeur/directrice commercial,4,Célibataire,7428,14506,2,O,Non,12,3,1,80,0,12,3,3,5,3,1,3
34,Non,Voyage_Rarement,1354,Recherche et développement,5,3,Médical,1,153,3,Femme,45,2,3,Gestionnaire,1,Célibataire,11631,5615,2,O,Non,12,3,4,80,0,14,6,3,11,10,5,8
36,Non,Voyage_Souvent,1467,Ventes,11,2,Diplôme technique,1,154,2,Femme,92,3,3,Directeur/directrice commercial,4,Marié(e),9738,22952,0,O,Non,14,3,3,80,1,10,6,3,9,7,2,8
36,Non,Voyage_Rarement,922,Recherche et développement,3,2,Sciences biologiques,1,155,1,Femme,39,3,1,Technicien(ne) en laboratoire,4,Divorcé(e),2835,2561,5,O,Non,22,4,1,80,1,7,2,3,1,0,0,0
43,Non,Voyage_Souvent,394,Ventes,26,2,Sciences biologiques,1,158,3,Homme,92,3,4,Gestionnaire,4,Marié(e),16959,19494,1,O,Oui,12,3,4,80,2,25,3,4,25,12,4,12
30,Non,Voyage_Souvent,1312,Recherche et développement,23,3,Sciences biologiques,1,159,1,Homme,96,1,1,Scientifique chercheur(e),3,Divorcé(e),2613,22310,1,O,Non,25,4,3,80,3,10,2,2,10,7,0,9
